Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,3,30,-9.25
Query 2,2,20,-24
Query 3,3,30,-22.5
Query 4,3,30,-36.25
Query 5,1,10,0
Query 6,2,20,-49
Query 7,3,30,-9.25
Query 8,2,20,-127
Query 9,4,40,-13.7
Query 10,0,0,0
Query 11,3,30,-1.25
Query 12,1,10,0
Query 13,1,10,0
Query 14,0,0,0
Query 15,3,30,-5.5
Query 16,4,40,-0.2
Query 17,5,50,-0.85
Query 18,2,20,-3
Query 19,1,10,0
Query 20,0,0,0
Query 21,3,30,-4.25
Query 22,2,20,-12
Query 23,2,20,-16
Query 24,1,10,0
Query 25,3,30,-16.25
Query 26,0,0,0
Query 27,2,20,-79
Query 28,4,40,-12.6
Query 29,2,20,-49
Query 30,2,20,-16
Query 31,5,50,-2.05
Query 32,1,10,0
Query 33,2,20,-96
Query 34,3,30,-12.5
Query 35,2,20,-19
Query 36,2,20,-112
Query 37,0,0,0
Query 38,1,10,1
Query 39,1,10,0
Query 40,4,40,-10
Query 41,3,30,-11.75
Query 42,4,40,-3.8
Query 43,0,0,0
Query 44,2,20,-3
Query 45,2,20,-57
Query 46,1,10,0
Query 47,0,0,0
Query 48,4,40,-13.8
Query 49,5,50,-1.3
Query 50,0,0,0
Query 51,0,0,0
Query 52,4,40,-10
Query 53,2,20,-19
Query 54,1,10,1
Query 55,4,40,-9.7
Query 56,4,40,-8.2
Query 57,0,0,0
Query 58,3,30,-3.5
Query 59,4,40,-6.8
Query 60,0,0,0
Query 61,1,10,0
Query 62,0,0,0
Query 63,5,50,-7.7
Query 64,1,10,0
Query 65,1,10,1
Query 66,0,0,0
Query 67,2,20,-35
Query 68,2,20,-9
Query 69,1,10,0
Query 70,3,30,-10.25
Query 71,3,30,-18.25
Query 72,0,0,0
Query 73,0,0,0
Query 74,4,40,-9.8
Query 75,3,30,-9.75
Query 76,5,50,-1.15
Query 77,1,10,1
Query 78,1,10,0
Query 79,2,20,-52
Query 80,4,40,-4.1
Query 81,3,30,-10.5
Query 82,0,0,0
Query 83,1,10,0
Query 84,1,10,0
Query 85,2,20,-84
Query 86,2,20,-116
Query 87,2,20,-9
Query 88,1,10,0
Query 89,3,30,-1
Query 90,4,40,-6.1
Query 91,2,20,-49
Query 92,2,20,-35
Query 93,1,10,0
Query 94,4,40,-8.3
Query 95,3,30,-2.5
Query 96,2,20,-24
Query 97,1,10,0
Query 98,2,20,-51
Query 99,3,30,-28.5
Query 100,0,0,0
Averages,2.06,20.6,-14.8415
